[2025-07-19 18:33:04] [INFO    ] discord.client: logging in using static token
[2025-07-19 18:33:04] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-07-19 18:33:04] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-07-19 18:33:04] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1394877805241696328', 'username': 'Yoimiya', 'avatar': '95f18a9a36a6cb0d5c4af5ac3d3637cf', 'discriminator': '4246', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'e1657a441fbc2fb68fb96f664c70f807', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-07-19 18:33:05] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-07-19 18:33:05] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-07-19 18:33:05] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1394877805241696328', 'name': 'Yoimiya', 'icon': '95f18a9a36a6cb0d5c4af5ac3d3637cf', 'description': 'A Ai bot created by Fano.', 'type': None, 'bot': {'id': '1394877805241696328', 'username': 'Yoimiya', 'avatar': '95f18a9a36a6cb0d5c4af5ac3d3637cf', 'discriminator': '4246', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'e1657a441fbc2fb68fb96f664c70f807', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'ac6bb4922d10098ce4fab96b3a727e8217bae7359a9253666ce263207a03890d', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '978304668520312842', 'username': 'fanoalone', 'avatar': 'd81de0fb8a9251467adf3d244837e2c5', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 11399151, 'global_name': 'FanoAlone', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#adefef', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 228, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-07-19 18:33:05] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-07-19 18:33:05] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-d-m9cm",{"micros":0.0}]']}}
[2025-07-19 18:33:05] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-07-19 18:33:06] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
